# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 344:         4.447       51.962      -4.30  ROTTERDAM
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# FHVEC    = Vectorgemiddelde windsnelheid (in 0.1 m/s). Zie http://www.knmi.nl/kennis-en-datacentrum/achtergrond/klimatologische-brochures-en-boeken; 
# 
STN,YYYYMMDD,FHVEC
  344,20170123,   22
  344,20170124,   11
  344,20170125,   27
  344,20170126,   27
  344,20170127,   37
  344,20170128,   47
  344,20170129,   52
  344,20170130,   11
  344,20170131,   23
  344,20170201,   45
  344,20170202,   53
  344,20170203,   44
  344,20170204,   14
  344,20170205,   11
  344,20170206,    9
  344,20170207,   42
  344,20170208,   47
  344,20170209,   50
  344,20170210,   38
  344,20170211,   40
  344,20170212,   54
  344,20170213,   65
  344,20170214,   38
  344,20170215,   25
  344,20170216,   44
  344,20170217,   35
  344,20170218,   21
  344,20170219,   41
  344,20170220,   57
  344,20170221,   51
  344,20170222,   92
  344,20170223,  105
  344,20170224,   38
  344,20170225,   70
  344,20170226,   74
  344,20170227,   79
  344,20170228,   72
  344,20170301,   43
  344,20170302,   84
  344,20170303,   42
  344,20170304,   35
  344,20170305,   64
  344,20170306,   14
  344,20170307,   28
  344,20170308,   35
  344,20170309,   39
  344,20170310,   19
  344,20170311,   19
  344,20170312,   20
  344,20170313,   19
  344,20170314,   39
  344,20170315,   11
  344,20170316,   27
  344,20170317,   63
  344,20170318,   66
  344,20170319,   88
  344,20170320,   90
  344,20170321,   55
  344,20170322,   43
  344,20170323,   47
  344,20170324,   56
  344,20170325,   55
  344,20170326,   42
  344,20170327,   23
  344,20170328,   30
  344,20170329,   64
  344,20170330,   42
  344,20170331,   40
  344,20170401,   15
  344,20170402,   18
  344,20170403,   13
  344,20170404,   14
  344,20170405,   39
  344,20170406,   27
  344,20170407,   25
  344,20170408,   11
  344,20170409,   24
  344,20170410,   42
  344,20170411,   38
  344,20170412,   54
  344,20170413,   38
  344,20170414,   36
  344,20170415,   55
  344,20170416,   41
  344,20170417,   41
  344,20170418,   20
  344,20170419,   18
  344,20170420,   23
  344,20170421,   38
  344,20170422,   37
  344,20170423,   18
  344,20170424,   47
  344,20170425,   52
  344,20170426,   22
  344,20170427,   27
  344,20170428,   24
  344,20170429,   14
  344,20170430,   65
  344,20170501,   33
  344,20170502,   14
  344,20170503,   36
  344,20170504,   60
  344,20170505,   50
  344,20170506,   47
  344,20170507,   37
  344,20170508,   39
  344,20170509,   20
  344,20170510,   18
  344,20170511,   31
  344,20170512,   34
  344,20170513,   31
  344,20170514,   39
  344,20170515,   31
  344,20170516,   31
  344,20170517,   23
  344,20170518,   13
  344,20170519,   47
  344,20170520,   34
  344,20170521,    9
  344,20170522,   10
  344,20170523,   27
  344,20170524,   23
  344,20170525,   20
  344,20170526,   49
  344,20170527,   22
  344,20170528,   11
  344,20170529,    3
  344,20170530,   55
  344,20170531,   22
  344,20170601,   14
  344,20170602,   14
  344,20170603,   22
  344,20170604,   38
  344,20170605,   41
  344,20170606,   89
  344,20170607,   95
  344,20170608,   44
  344,20170609,   53
  344,20170610,   38
  344,20170611,   40
  344,20170612,   64
  344,20170613,   21
  344,20170614,   27
  344,20170615,   38
  344,20170616,   42
  344,20170617,   28
  344,20170618,   13
  344,20170619,   14
  344,20170620,   39
  344,20170621,   38
  344,20170622,   46
  344,20170623,   55
